timestamp	rss_kib	fds
1783845585	31440	20
1783845645	36784	127
1783845705	37248	128
1783845765	37264	126
1783845825	37376	134
1783845885	37392	128
1783845945	37536	131
1783846006	37600	128
1783846066	32352	124
1783846126	32400	86
1783846186	33120	124
1783846246	33136	75
1783846306	33168	130
1783846366	32672	132
1783846426	32720	124
1783846486	32720	126
1783846546	32720	120
1783846606	32768	131
1783846666	32816	128
1783846726	31472	132
1783846786	31088	109
1783846846	31328	135
1783846906	31456	101
1783846966	31728	127
1783847027	31776	129
1783847087	31616	122
1783847147	31632	124
1783847207	31632	116
1783847267	31376	132
1783847327	31456	120
1783847387	31552	128
1783847447	31232	77
1783847507	32080	136
1783847567	32096	80
1783847627	32048	124
1783847687	31408	135
1783847747	31712	130
1783847807	31712	126
1783847867	32032	116
1783847927	32000	130
1783847987	31840	127
1783848048	31584	132
1783848108	30800	127
1783848168	30992	132
1783848228	30976	122
1783848288	31056	131
1783848348	31040	92
1783848408	31040	118
1783848468	31040	79
1783848528	31840	127
1783848588	31712	78
1783848648	31440	129
1783848708	31456	132
1783848768	31488	125
1783848828	31520	133
1783848888	31520	129
1783848948	29456	134
1783849008	29504	131
1783849069	30464	129
1783849129	30480	120
1783849189	30848	133
1783849249	30816	80
1783849309	30976	125
1783849369	30848	78
1783849429	31744	129
1783849489	31744	86
1783849549	31808	124
1783849609	31344	133
1783849669	31280	126
1783849729	31056	112
1783849789	31152	136
1783849849	31408	128
1783849909	30800	131
1783849969	28032	133
1783850029	28912	126
1783850089	28928	132
1783850150	29072	133
1783850210	29104	124
1783850270	29568	125
1783850330	28800	104
1783850390	28912	121
1783850450	28752	108
1783850510	28928	126
1783850570	28656	111
1783850630	29536	130
1783850690	28912	113
1783850750	29632	135
1783850810	29136	90
1783850870	28928	130
1783850931	28176	96
1783850991	29136	132
1783851051	27136	110
1783851111	27920	110
1783851171	28128	124
1783851231	28832	135
1783851291	27632	127
1783851351	28560	127
1783851411	28400	116
1783851471	29136	133
1783851531	29216	124
1783851591	29344	128
1783851651	27408	130
1783851711	27296	118
1783851771	28272	89
1783851831	29168	119
1783851892	28624	76
